"Announcement Subject","Priority","Announcement Mode","Send Date"
"Microsoft Mentorship Program – Engage 2020","Urgent","Email,Mobile","21 Aug 2020"
"Microsoft India PPT Details","Emergency","Email,Mobile","20 Aug 2020"
"Microsoft Internship Selection Drive","Emergency","Email,Mobile","20 Aug 2020"
"IT Specific Skills / Certifications","Emergency","Email,Mobile","19 Aug 2020"
"Axis Bank PPO","Urgent","Email,Mobile","19 Aug 2020"
"TCS CodeVita S9 Pre-Qualifier Round || FAQs & Query Resolution Template","Very Urgent","Email,Mobile","14 Aug 2020"
"Personal Financial Planning and Wealth Management for MBA Students","Emergency","Email,Mobile","14 Aug 2020"
"CodeVita S9 Login Verification","Urgent","Email,Mobile","13 Aug 2020"
"Internship opportunity at Futures First","Very Urgent","Email,Mobile","13 Aug 2020"
"Intuit- Internship Offer","Urgent","Email,Mobile","12 Aug 2020"
"Cadence Online Hackathon and Tech Talk","Urgent","Email,Mobile","12 Aug 2020"
"New Registration | Resume Updation","Very Urgent","Email,Mobile","09 Aug 2020"
"Goldman Sachs PPO","Emergency","Email,Mobile","07 Aug 2020"
"HANU softwares PPT Postponed","Emergency","Email,Mobile","07 Aug 2020"
"Internshala Student Partner Program (ISP 19)","Simple","Email,Mobile","06 Aug 2020"
"ZS PPO","Emergency","Email,Mobile","06 Aug 2020"
"Future First PPO","Emergency","Email,Mobile","06 Aug 2020"
"New Registration | Resume Upload","Emergency","Email,Mobile","06 Aug 2020"
"Pre-Placement Talk of HANU SOFTWARES","Urgent","Email,Mobile","06 Aug 2020"
"GEP Worldwide PPO","Emergency","Email,Mobile","05 Aug 2020"
"Microsoft PPO","Emergency","Email,Mobile","05 Aug 2020"
"Walmart PPO","Emergency","Email,Mobile","05 Aug 2020"
"Amazon PPO","Emergency","Email,Mobile","05 Aug 2020"
